model	original_text	simplified_text
run_0_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizotypal disorder is characterised by an enduring pattern (i.e. characteristic of the person’s functioning over a period of at least several years) of eccentricities in behaviour, appearance and speech, accompanied by cognitive and perceptual distortions, unusual beliefs, and discomfort with— and often reduced capacity for— interpersonal relationships. Symptoms may include constricted or inappropriate affect and anhedonia. Paranoid ideas, ideas of reference, or other psychotic symptoms, including hallucinations in any modality, may occur, but are not of sufficient intensity or duration to meet the diagnostic requirements of schizophrenia, schizoaffective disorder, or delusional disorder. The symptoms cause distress or impairment in personal, family, social, educational, occupational or other important areas of functioning.	Schizotypal disorder is a condition where a person has some unusual behaviors, thoughts, and beliefs that last for a long time. These behaviors can include strange ways of talking, dressing, or acting. The person may also have problems with how they see things or think about things, and they might believe things that aren't true. They might have trouble getting along with other people and might feel uncomfortable being around them. They might also feel sad or have no interest in things they used to enjoy. Sometimes, they might have paranoid thoughts or hear voices or see things that aren't really there, but these symptoms aren't severe enough to be considered schizophrenia, schizoaffective disorder, or delusional disorder. These symptoms can cause problems in the person's daily life, such as at home, school, work, or with friends.
run_1_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizotypal disorder is characterised by an enduring pattern (i.e. characteristic of the person’s functioning over a period of at least several years) of eccentricities in behaviour, appearance and speech, accompanied by cognitive and perceptual distortions, unusual beliefs, and discomfort with— and often reduced capacity for— interpersonal relationships. Symptoms may include constricted or inappropriate affect and anhedonia. Paranoid ideas, ideas of reference, or other psychotic symptoms, including hallucinations in any modality, may occur, but are not of sufficient intensity or duration to meet the diagnostic requirements of schizophrenia, schizoaffective disorder, or delusional disorder. The symptoms cause distress or impairment in personal, family, social, educational, occupational or other important areas of functioning.	Schizotypal disorder is a type of mental disorder that lasts for a long time and is characterized by strange behaviors, clothes, and speech, as well as distorted thoughts and perceptions, unusual beliefs, and discomfort with social relationships. People with this disorder may also have difficulty expressing their emotions and may lack pleasure in activities. Although they may have paranoid thoughts, ideas that others are referring to them, or hallucinations, these symptoms are not severe enough to be diagnosed with schizophrenia, schizoaffective disorder, or delusional disorder. These symptoms cause distress or problems in personal, family, social, educational, work, or other important areas of life.
run_2_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizotypal disorder is characterised by an enduring pattern (i.e. characteristic of the person’s functioning over a period of at least several years) of eccentricities in behaviour, appearance and speech, accompanied by cognitive and perceptual distortions, unusual beliefs, and discomfort with— and often reduced capacity for— interpersonal relationships. Symptoms may include constricted or inappropriate affect and anhedonia. Paranoid ideas, ideas of reference, or other psychotic symptoms, including hallucinations in any modality, may occur, but are not of sufficient intensity or duration to meet the diagnostic requirements of schizophrenia, schizoaffective disorder, or delusional disorder. The symptoms cause distress or impairment in personal, family, social, educational, occupational or other important areas of functioning.	Schizotypal disorder is a type of mental illness that lasts for a long time (at least several years) and is characterized by unusual behavior, appearance, and speech. People with this disorder also have problems with how they think and perceive things, as well as strange beliefs. They often have trouble connecting with other people and may feel uncomfortable in social situations. Symptoms can include feeling unhappy or not enjoying things, having trouble expressing emotions, and having paranoid thoughts or ideas that things are happening to them that aren't really happening. These symptoms can cause problems in different areas of a person's life, such as school, work, or relationships with family and friends.
run_3_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizotypal disorder is characterised by an enduring pattern (i.e. characteristic of the person’s functioning over a period of at least several years) of eccentricities in behaviour, appearance and speech, accompanied by cognitive and perceptual distortions, unusual beliefs, and discomfort with— and often reduced capacity for— interpersonal relationships. Symptoms may include constricted or inappropriate affect and anhedonia. Paranoid ideas, ideas of reference, or other psychotic symptoms, including hallucinations in any modality, may occur, but are not of sufficient intensity or duration to meet the diagnostic requirements of schizophrenia, schizoaffective disorder, or delusional disorder. The symptoms cause distress or impairment in personal, family, social, educational, occupational or other important areas of functioning.	Schizotypal disorder is a condition that lasts for a long time (at least several years) and is characterized by strange behaviors, clothing and speech, as well as distorted thoughts and perceptions, unusual beliefs, and discomfort with and reduced ability to have relationships with other people. Symptoms may include feeling emotions that are too strong or too weak, or not feeling any pleasure at all. Paranoid thoughts, thoughts that others are thinking about you, or other symptoms that are like schizophrenia, schizoaffective disorder, or delusional disorder, but not severe enough to meet the diagnostic criteria for these conditions, may occur. These symptoms cause distress or difficulty in personal, family, social, educational, job or other important areas of functioning.
run_4_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizotypal disorder is characterised by an enduring pattern (i.e. characteristic of the person’s functioning over a period of at least several years) of eccentricities in behaviour, appearance and speech, accompanied by cognitive and perceptual distortions, unusual beliefs, and discomfort with— and often reduced capacity for— interpersonal relationships. Symptoms may include constricted or inappropriate affect and anhedonia. Paranoid ideas, ideas of reference, or other psychotic symptoms, including hallucinations in any modality, may occur, but are not of sufficient intensity or duration to meet the diagnostic requirements of schizophrenia, schizoaffective disorder, or delusional disorder. The symptoms cause distress or impairment in personal, family, social, educational, occupational or other important areas of functioning.	Schizotypal disorder is a long-term pattern of strange behaviors, appearance, and speech, along with unusual thoughts and perceptions, and strong beliefs that are not based on reality. People with this disorder often have trouble relating to others, feel uncomfortable in social situations, and have little interest in other people. They may also have trouble controlling their emotions and may feel sad or numb. While they might have some psychotic symptoms like hearing voices or having paranoid thoughts, these symptoms are not severe enough to be classified as schizophrenia, schizoaffective disorder, or delusional disorder. These symptoms cause problems in different areas of a person’s life, such as at home, school, work, or with friends.
run_5_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizotypal disorder is characterised by an enduring pattern (i.e. characteristic of the person’s functioning over a period of at least several years) of eccentricities in behaviour, appearance and speech, accompanied by cognitive and perceptual distortions, unusual beliefs, and discomfort with— and often reduced capacity for— interpersonal relationships. Symptoms may include constricted or inappropriate affect and anhedonia. Paranoid ideas, ideas of reference, or other psychotic symptoms, including hallucinations in any modality, may occur, but are not of sufficient intensity or duration to meet the diagnostic requirements of schizophrenia, schizoaffective disorder, or delusional disorder. The symptoms cause distress or impairment in personal, family, social, educational, occupational or other important areas of functioning.	Schizotypal disorder is a condition that makes a person behave, look and talk differently from others. This person also has problems with how they think and see things, and with what they believe. They often don't like being with other people and they have a hard time being with them. They may feel sad or happy less often than other people, or not at all. They might have thoughts that other people are watching them or that they hear voices that aren't really there. These thoughts aren't as strong as the ones that would make someone have schizophrenia, schizoaffective disorder or delusional disorder. These symptoms make the person feel bad or make it harder for them to do well in important parts of their life, like at home, school or work.
run_6_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizotypal disorder is characterised by an enduring pattern (i.e. characteristic of the person’s functioning over a period of at least several years) of eccentricities in behaviour, appearance and speech, accompanied by cognitive and perceptual distortions, unusual beliefs, and discomfort with— and often reduced capacity for— interpersonal relationships. Symptoms may include constricted or inappropriate affect and anhedonia. Paranoid ideas, ideas of reference, or other psychotic symptoms, including hallucinations in any modality, may occur, but are not of sufficient intensity or duration to meet the diagnostic requirements of schizophrenia, schizoaffective disorder, or delusional disorder. The symptoms cause distress or impairment in personal, family, social, educational, occupational or other important areas of functioning.	Schizotypal disorder is a long-term pattern of odd behavior, appearance, and speech, along with strange thoughts and perceptions, unusual beliefs, and trouble getting along with others. People with this disorder may feel uncomfortable in social situations and have a hard time making friends. They might also have trouble controlling their emotions and finding things to enjoy in life. While some people with schizotypal disorder might have some symptoms that are like those of schizophrenia, such as hearing voices or having strange ideas, these symptoms are not severe enough to be diagnosed with schizophrenia, schizoaffective disorder, or delusional disorder. These symptoms must cause problems in important areas of a person's life, such as at school or work, with family, or in relationships.
run_7_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizotypal disorder is characterised by an enduring pattern (i.e. characteristic of the person’s functioning over a period of at least several years) of eccentricities in behaviour, appearance and speech, accompanied by cognitive and perceptual distortions, unusual beliefs, and discomfort with— and often reduced capacity for— interpersonal relationships. Symptoms may include constricted or inappropriate affect and anhedonia. Paranoid ideas, ideas of reference, or other psychotic symptoms, including hallucinations in any modality, may occur, but are not of sufficient intensity or duration to meet the diagnostic requirements of schizophrenia, schizoaffective disorder, or delusional disorder. The symptoms cause distress or impairment in personal, family, social, educational, occupational or other important areas of functioning.	Schizotypal disorder is a long-lasting way of behaving, looking and talking that is different from what most people do, and it includes strange thoughts and perceptions, unusual beliefs, and trouble getting along with others. People with this disorder may feel uncomfortable in social situations and have trouble feeling emotions or enjoying things. They might have some paranoid thoughts, like someone is watching them or they are being talked about, but these thoughts aren't strong enough to be considered schizophrenia, schizoaffective disorder, or delusional disorder. These symptoms make it hard for them to do well in school, work, or other important areas of life.
run_8_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizotypal disorder is characterised by an enduring pattern (i.e. characteristic of the person’s functioning over a period of at least several years) of eccentricities in behaviour, appearance and speech, accompanied by cognitive and perceptual distortions, unusual beliefs, and discomfort with— and often reduced capacity for— interpersonal relationships. Symptoms may include constricted or inappropriate affect and anhedonia. Paranoid ideas, ideas of reference, or other psychotic symptoms, including hallucinations in any modality, may occur, but are not of sufficient intensity or duration to meet the diagnostic requirements of schizophrenia, schizoaffective disorder, or delusional disorder. The symptoms cause distress or impairment in personal, family, social, educational, occupational or other important areas of functioning.	Schizotypal disorder is a long-term way of behaving that is unusual in how you act, look, and talk, and also in how you think and see things. It includes strange thoughts and beliefs, and feeling uncomfortable with other people. You may have trouble feeling emotions and enjoying things. You might have paranoid thoughts, thoughts that other people are talking about you, or other symptoms like hearing voices. These symptoms make you feel bad or make it harder for you to do well in important parts of your life, like school, work, or relationships.
run_9_BioMistral-7B-SLERP.Q4_K_M.gguf	Schizotypal disorder is characterised by an enduring pattern (i.e. characteristic of the person’s functioning over a period of at least several years) of eccentricities in behaviour, appearance and speech, accompanied by cognitive and perceptual distortions, unusual beliefs, and discomfort with— and often reduced capacity for— interpersonal relationships. Symptoms may include constricted or inappropriate affect and anhedonia. Paranoid ideas, ideas of reference, or other psychotic symptoms, including hallucinations in any modality, may occur, but are not of sufficient intensity or duration to meet the diagnostic requirements of schizophrenia, schizoaffective disorder, or delusional disorder. The symptoms cause distress or impairment in personal, family, social, educational, occupational or other important areas of functioning.	Schizotypal disorder is a condition that lasts for a long time (at least several years) and is characterized by unusual behaviour, appearance, speech, thoughts, and beliefs. People with schizotypal disorder often feel uncomfortable with other people and have a hard time relating to them. They may also have trouble expressing their feelings and may lack pleasure in life. While some people with schizotypal disorder may experience paranoid thoughts, ideas of reference, or hallucinations, these symptoms are not severe enough to be classified as schizophrenia, schizoaffective disorder, or delusional disorder. These symptoms must cause distress or impairment in important areas of a person’s life, such as work, school, relationships, or daily activities.
