release_url	language	code	original_text
http://id.who.int/icd/release/11/2026-01/mms	en	6A24	Delusional disorder is characterised by the development of a delusion or set of related delusions, typically persisting for at least 3 months and often much longer, in the absence of a Depressive, Manic, or Mixed mood episode. The delusions are variable in content across individuals, but typically stable within individuals, although they may evolve over time. Other characteristic symptoms of Schizophrenia (i.e. clear and persistent hallucinations, negative symptoms, disorganised thinking, or experiences of influence, passivity, or control) are not present, although various forms of perceptual disturbances (e.g. hallucinations, illusions, misidentifications of persons) thematically related to the delusion are still consistent with the diagnosis. Apart from actions and attitudes directly related to the delusion or delusional system, affect, speech, and behavior are typically unaffected. The symptoms are not a manifestation of another medical condition (e.g., a brain tumour) and are not due to the effect of a substance or medication on the central nervous system (e.g. corticosteroids), including withdrawal effects (e.g. alcohol withdrawal).
http://id.who.int/icd/release/11/2026-01/mms	en	6A24.0	All definitional requirements for Delusional disorder in terms of symptoms and duration are currently met, or have been met within the past one month.
http://id.who.int/icd/release/11/2026-01/mms	en	6A24.1	All definitional requirements for Delusional disorder in terms of symptoms and duration were previously met. Symptoms have ameliorated such that the diagnostic requirements for the disorder have not been met for at least one month, but some clinically significant symptoms remain, which may or may not be associated with functional impairment. The partial remission may have occurred in response to medication or other treatment.
http://id.who.int/icd/release/11/2026-01/mms	en	6A24.2	All definitional requirements for Delusional disorder in terms of symptoms and duration were previously met. Symptoms have ameliorated such that no significant symptoms remain. The remission may have occurred in response to medication or other treatment.
http://id.who.int/icd/release/11/2026-01/mms	fr	6A24	Le trouble délirant se caractérise par le développement d’une idée délirante ou d’un ensemble d’idées délirantes apparentées, persistant généralement pendant au moins 3 mois et souvent bien plus longtemps, en l’absence d’un épisode d’humeur dépressif, maniaque ou mixte. La teneur des idées délirantes varie d’un individu à l’autre, mais est habituellement stable chez un même individu, bien qu’elle puisse évoluer au fil du temps. Les autres symptômes caractéristiques de la schizophrénie (c.-à-d. hallucinations claires et persistantes, symptômes négatifs, pensée désorganisée ou expériences d’influence, de passivité ou de contrôle) ne sont pas présents, bien que diverses formes de troubles de la perception (p. ex. hallucinations, illusions, erreurs d’identification de personnes) thématiquement liés à l’idée délirante soient toujours conformes au diagnostic. Mis à part les actions et attitudes directement liées à l’idée délirante ou à l’ensemble d’idées délirantes, l’affect, le discours et le comportement ne sont généralement pas affectés. Les symptômes ne sont pas une manifestation d’une autre affection médicale (p. ex. une tumeur cérébrale) et ne sont pas dus à l’effet d’une substance ou d’un médicament sur le système nerveux central (p. ex. corticostéroïdes), y compris aux effets d’un sevrage (p. ex. sevrage alcoolique).
http://id.who.int/icd/release/11/2026-01/mms	fr	6A24.0	Tous les critères de définition du trouble délirant en termes de symptômes et de durée sont satisfaits actuellement ou ont été satisfaits au cours du mois passé.
http://id.who.int/icd/release/11/2026-01/mms	fr	6A24.1	Tous les critères de définition du trouble délirant en termes de symptômes et de durée étaient satisfaits auparavant. Les symptômes se sont améliorés de sorte que les critères de diagnostic du trouble n’ont pas été satisfaits pendant au moins un mois, mais certains symptômes cliniquement significatifs subsistent, lesquels peuvent être associés ou non avec une atteinte fonctionnelle. La rémission partielle peut être survenue en réponse à un traitement médicamenteux ou autre.
http://id.who.int/icd/release/11/2026-01/mms	fr	6A24.2	Tous les critères de définition du trouble délirant en termes de symptômes et de durée étaient satisfaits auparavant. Les symptômes se sont améliorés si bien qu’aucun symptôme significatif ne subsiste. La rémission peut être survenue en réponse à un traitement médicamenteux ou autre.
http://id.who.int/icd/release/11/2026-01/mms	de	6A24	Eine wahnhafte Störung ist durch die Entwicklung eines Wahnsymptoms oder einer Reihe zusammenhängender Wahnsymptome gekennzeichnet, die in der Regel mindestens drei Monate und oft viel länger anhalten, ohne dass eine depressive, manische oder gemischte Episode vorliegt. Der Inhalt der Wahnvorstellungen variiert von Person zu Person, ist aber in der Regel innerhalb einer Person stabil, auch wenn sie sich im Laufe der Zeit weiterentwickeln können. Andere charakteristische Symptome der Schizophrenie (d. h. deutliche und anhaltende Halluzinationen, Negativsymptome, desorganisiertes Denken oder Beeinflussungserleben) sind nicht vorhanden, obwohl verschiedene Formen von Wahrnehmungsstörungen (z. B. Halluzinationen, Illusionen, Personenverkennung), die thematisch mit dem Wahn zusammenhängen, dennoch mit der Diagnose vereinbar sind. Abgesehen von Handlungen und Einstellungen, die direkt mit der Wahnvorstellung oder dem Wahnsystem zusammenhängen, sind Affekt, Sprache und Verhalten in der Regel nicht beeinträchtigt. Die Symptome sind nicht Ausdruck einer anderen Erkrankung (z. B. eines Hirntumors) und sind nicht auf die Wirkung einer Substanz oder eines Medikaments auf das zentrale Nervensystem (z. B. Kortikosteroide) zurückzuführen, auch nicht auf Entzugserscheinungen (z. B. Alkoholentzug).
http://id.who.int/icd/release/11/2026-01/mms	de	6A24.0	Alle definitorischen Anforderungen für eine wahnhafte Störung in Bezug auf Symptome und Dauer sind derzeit erfüllt oder wurden innerhalb des letzten Monats erfüllt.
