model	original_text	simplified_text
run_0_BioMistral-7B-SLERP.Q4_K_M.gguf	Delusional disorder is characterised by the development of a delusion or set of related delusions, typically persisting for at least 3 months and often much longer, in the absence of a Depressive, Manic, or Mixed mood episode. The delusions are variable in content across individuals, but typically stable within individuals, although they may evolve over time. Other characteristic symptoms of Schizophrenia (i.e. clear and persistent hallucinations, negative symptoms, disorganised thinking, or experiences of influence, passivity, or control) are not present, although various forms of perceptual disturbances (e.g. hallucinations, illusions, misidentifications of persons) thematically related to the delusion are still consistent with the diagnosis. Apart from actions and attitudes directly related to the delusion or delusional system, affect, speech, and behavior are typically unaffected. The symptoms are not a manifestation of another medical condition (e.g., a brain tumour) and are not due to the effect of a substance or medication on the central nervous system (e.g. corticosteroids), including withdrawal effects (e.g. alcohol withdrawal). All definitional requirements for Delusional disorder in terms of symptoms and duration are currently met, or have been met within the past one month. All definitional requirements for Delusional disorder in terms of symptoms and duration were previously met. Symptoms have ameliorated such that the diagnostic requirements for the disorder have not been met for at least one month, but some clinically significant symptoms remain, which may or may not be associated with functional impairment. The partial remission may have occurred in response to medication or other treatment. All definitional requirements for Delusional disorder in terms of symptoms and duration were previously met. Symptoms have ameliorated such that no significant symptoms remain. The remission may have occurred in response to medication or other treatment.	Delusional disorder is a mental health condition where a person has a strong belief (delusion) that is not based in reality. This belief is usually about something specific and can last for at least 3 months. The person may have other symptoms like hearing or seeing things that aren't really there (hallucinations), feeling disconnected from their body or surroundings (negative symptoms), or having trouble thinking clearly (disorganized thinking). But these symptoms are not related to the delusion and are not severe enough to cause problems with daily life. The person's mood and behavior are usually not affected by the delusion. The delusion may change over time, but it stays the same within the person. The symptoms of delusional disorder are not caused by another medical condition, like a brain tumor, or by taking certain medications. The person meets all the requirements for a diagnosis of delusional disorder, either currently or within the past month. The person's symptoms have
run_1_BioMistral-7B-SLERP.Q4_K_M.gguf	Delusional disorder is characterised by the development of a delusion or set of related delusions, typically persisting for at least 3 months and often much longer, in the absence of a Depressive, Manic, or Mixed mood episode. The delusions are variable in content across individuals, but typically stable within individuals, although they may evolve over time. Other characteristic symptoms of Schizophrenia (i.e. clear and persistent hallucinations, negative symptoms, disorganised thinking, or experiences of influence, passivity, or control) are not present, although various forms of perceptual disturbances (e.g. hallucinations, illusions, misidentifications of persons) thematically related to the delusion are still consistent with the diagnosis. Apart from actions and attitudes directly related to the delusion or delusional system, affect, speech, and behavior are typically unaffected. The symptoms are not a manifestation of another medical condition (e.g., a brain tumour) and are not due to the effect of a substance or medication on the central nervous system (e.g. corticosteroids), including withdrawal effects (e.g. alcohol withdrawal). All definitional requirements for Delusional disorder in terms of symptoms and duration are currently met, or have been met within the past one month. All definitional requirements for Delusional disorder in terms of symptoms and duration were previously met. Symptoms have ameliorated such that the diagnostic requirements for the disorder have not been met for at least one month, but some clinically significant symptoms remain, which may or may not be associated with functional impairment. The partial remission may have occurred in response to medication or other treatment. All definitional requirements for Delusional disorder in terms of symptoms and duration were previously met. Symptoms have ameliorated such that no significant symptoms remain. The remission may have occurred in response to medication or other treatment.	"Delusional disorder happens when someone thinks and believes something that is not true. This thought is called a ""delusion"" and it can be about many things. It can be about things like being watched, being followed, or being controlled by someone else. These thoughts usually stay the same for a long time, but they can change slowly over time. Other symptoms that are often found in Schizophrenia, like hearing things that aren't there or feeling like you're not in control of your own actions, are not usually found in Delusional disorder. But, sometimes people with Delusional disorder might have other problems with their senses, like seeing things that aren't really there. These problems are still part of the disorder. The symptoms of Delusional disorder are not caused by another medical problem, like a brain tumor, or by taking drugs or medicine that affect the brain. All of the rules for being diagnosed with Delusional disorder have been met,"
run_2_BioMistral-7B-SLERP.Q4_K_M.gguf	Delusional disorder is characterised by the development of a delusion or set of related delusions, typically persisting for at least 3 months and often much longer, in the absence of a Depressive, Manic, or Mixed mood episode. The delusions are variable in content across individuals, but typically stable within individuals, although they may evolve over time. Other characteristic symptoms of Schizophrenia (i.e. clear and persistent hallucinations, negative symptoms, disorganised thinking, or experiences of influence, passivity, or control) are not present, although various forms of perceptual disturbances (e.g. hallucinations, illusions, misidentifications of persons) thematically related to the delusion are still consistent with the diagnosis. Apart from actions and attitudes directly related to the delusion or delusional system, affect, speech, and behavior are typically unaffected. The symptoms are not a manifestation of another medical condition (e.g., a brain tumour) and are not due to the effect of a substance or medication on the central nervous system (e.g. corticosteroids), including withdrawal effects (e.g. alcohol withdrawal). All definitional requirements for Delusional disorder in terms of symptoms and duration are currently met, or have been met within the past one month. All definitional requirements for Delusional disorder in terms of symptoms and duration were previously met. Symptoms have ameliorated such that the diagnostic requirements for the disorder have not been met for at least one month, but some clinically significant symptoms remain, which may or may not be associated with functional impairment. The partial remission may have occurred in response to medication or other treatment. All definitional requirements for Delusional disorder in terms of symptoms and duration were previously met. Symptoms have ameliorated such that no significant symptoms remain. The remission may have occurred in response to medication or other treatment.	Delusional disorder is a mental disorder that causes a person to have a strong belief (a delusion) that is not based in reality. This belief usually lasts for at least 3 months and often much longer. The content of the delusion can vary from person to person, but it usually stays the same for that person. Other symptoms that are common in schizophrenia, like hallucinations, negative thoughts, or feelings of being controlled, are not present in delusional disorder. However, a person with delusional disorder might have other kinds of perceptual disturbances that are related to their delusion. These could include hallucinations, illusions, or seeing someone in a different form than they really are. A person with delusional disorder's emotions, speech, and behavior are usually not affected, except for things that are directly related to their delusion. The symptoms of delusional disorder are not caused by another medical condition, like
run_3_BioMistral-7B-SLERP.Q4_K_M.gguf	Delusional disorder is characterised by the development of a delusion or set of related delusions, typically persisting for at least 3 months and often much longer, in the absence of a Depressive, Manic, or Mixed mood episode. The delusions are variable in content across individuals, but typically stable within individuals, although they may evolve over time. Other characteristic symptoms of Schizophrenia (i.e. clear and persistent hallucinations, negative symptoms, disorganised thinking, or experiences of influence, passivity, or control) are not present, although various forms of perceptual disturbances (e.g. hallucinations, illusions, misidentifications of persons) thematically related to the delusion are still consistent with the diagnosis. Apart from actions and attitudes directly related to the delusion or delusional system, affect, speech, and behavior are typically unaffected. The symptoms are not a manifestation of another medical condition (e.g., a brain tumour) and are not due to the effect of a substance or medication on the central nervous system (e.g. corticosteroids), including withdrawal effects (e.g. alcohol withdrawal). All definitional requirements for Delusional disorder in terms of symptoms and duration are currently met, or have been met within the past one month. All definitional requirements for Delusional disorder in terms of symptoms and duration were previously met. Symptoms have ameliorated such that the diagnostic requirements for the disorder have not been met for at least one month, but some clinically significant symptoms remain, which may or may not be associated with functional impairment. The partial remission may have occurred in response to medication or other treatment. All definitional requirements for Delusional disorder in terms of symptoms and duration were previously met. Symptoms have ameliorated such that no significant symptoms remain. The remission may have occurred in response to medication or other treatment.	Delusional disorder is a mental illness where a person has a strong belief that is not based in reality. This belief is called a delusion. The person usually has this belief for at least 3 months and it doesn't go away even after a lot of time has passed. The person doesn't have any other symptoms of depression, mania, or a mixed mood episode. The delusion can be about many different things, but it usually stays the same for the person. The person might have other problems with their thinking, like being disorganized or having trouble concentrating, but they don't have clear hallucinations, negative symptoms, or feelings of being controlled or influenced by others. The person's speech, feelings, and behavior are usually normal. The delusion isn't caused by another medical condition, like a brain tumor, or by taking drugs or medication. The person meets all the requirements for a diagnosis of delusional disorder, either currently
run_4_BioMistral-7B-SLERP.Q4_K_M.gguf	Delusional disorder is characterised by the development of a delusion or set of related delusions, typically persisting for at least 3 months and often much longer, in the absence of a Depressive, Manic, or Mixed mood episode. The delusions are variable in content across individuals, but typically stable within individuals, although they may evolve over time. Other characteristic symptoms of Schizophrenia (i.e. clear and persistent hallucinations, negative symptoms, disorganised thinking, or experiences of influence, passivity, or control) are not present, although various forms of perceptual disturbances (e.g. hallucinations, illusions, misidentifications of persons) thematically related to the delusion are still consistent with the diagnosis. Apart from actions and attitudes directly related to the delusion or delusional system, affect, speech, and behavior are typically unaffected. The symptoms are not a manifestation of another medical condition (e.g., a brain tumour) and are not due to the effect of a substance or medication on the central nervous system (e.g. corticosteroids), including withdrawal effects (e.g. alcohol withdrawal). All definitional requirements for Delusional disorder in terms of symptoms and duration are currently met, or have been met within the past one month. All definitional requirements for Delusional disorder in terms of symptoms and duration were previously met. Symptoms have ameliorated such that the diagnostic requirements for the disorder have not been met for at least one month, but some clinically significant symptoms remain, which may or may not be associated with functional impairment. The partial remission may have occurred in response to medication or other treatment. All definitional requirements for Delusional disorder in terms of symptoms and duration were previously met. Symptoms have ameliorated such that no significant symptoms remain. The remission may have occurred in response to medication or other treatment.	"Delusional disorder is a mental health condition where a person has a strong belief that is not based in reality. This belief is usually about something that is not true and it often lasts for a long time. The person with delusional disorder does not have any other mental health problems like depression or mania. They may have some other problems like hearing or seeing things that are not really there, but these problems are related to their strong belief. They may not act differently because of their strong belief, and their feelings and the way they speak and behave are not affected. The strong belief is not caused by another medical condition or by taking drugs or medicine. If the person's strong belief has gone away for at least a month and they still have some problems, this is called a ""partial remission."" If the person's strong belief has gone away and they do not have any problems anymore, this is called a ""remission."" Sometimes, a person's strong belief can"
run_5_BioMistral-7B-SLERP.Q4_K_M.gguf	Delusional disorder is characterised by the development of a delusion or set of related delusions, typically persisting for at least 3 months and often much longer, in the absence of a Depressive, Manic, or Mixed mood episode. The delusions are variable in content across individuals, but typically stable within individuals, although they may evolve over time. Other characteristic symptoms of Schizophrenia (i.e. clear and persistent hallucinations, negative symptoms, disorganised thinking, or experiences of influence, passivity, or control) are not present, although various forms of perceptual disturbances (e.g. hallucinations, illusions, misidentifications of persons) thematically related to the delusion are still consistent with the diagnosis. Apart from actions and attitudes directly related to the delusion or delusional system, affect, speech, and behavior are typically unaffected. The symptoms are not a manifestation of another medical condition (e.g., a brain tumour) and are not due to the effect of a substance or medication on the central nervous system (e.g. corticosteroids), including withdrawal effects (e.g. alcohol withdrawal). All definitional requirements for Delusional disorder in terms of symptoms and duration are currently met, or have been met within the past one month. All definitional requirements for Delusional disorder in terms of symptoms and duration were previously met. Symptoms have ameliorated such that the diagnostic requirements for the disorder have not been met for at least one month, but some clinically significant symptoms remain, which may or may not be associated with functional impairment. The partial remission may have occurred in response to medication or other treatment. All definitional requirements for Delusional disorder in terms of symptoms and duration were previously met. Symptoms have ameliorated such that no significant symptoms remain. The remission may have occurred in response to medication or other treatment.	"Delusional disorder is a mental illness in which a person develops a strong false belief, known as a delusion, that persists for at least 3 months. This belief is not based on reality and cannot be explained by any other medical condition or substance use. The symptoms of delusional disorder are not severe enough to cause significant distress or problems with daily life. The person's mood, speech, and behavior are not affected. The person may have some mild symptoms that are related to the delusion, such as hallucinations or difficulty sleeping. The person may also have some mild problems with thinking or decision-making. If the symptoms improve, but not enough to meet the criteria for remission, the person is said to have a ""partial remission."" If the symptoms completely disappear, the person is said to have ""remitted."""
run_6_BioMistral-7B-SLERP.Q4_K_M.gguf	Delusional disorder is characterised by the development of a delusion or set of related delusions, typically persisting for at least 3 months and often much longer, in the absence of a Depressive, Manic, or Mixed mood episode. The delusions are variable in content across individuals, but typically stable within individuals, although they may evolve over time. Other characteristic symptoms of Schizophrenia (i.e. clear and persistent hallucinations, negative symptoms, disorganised thinking, or experiences of influence, passivity, or control) are not present, although various forms of perceptual disturbances (e.g. hallucinations, illusions, misidentifications of persons) thematically related to the delusion are still consistent with the diagnosis. Apart from actions and attitudes directly related to the delusion or delusional system, affect, speech, and behavior are typically unaffected. The symptoms are not a manifestation of another medical condition (e.g., a brain tumour) and are not due to the effect of a substance or medication on the central nervous system (e.g. corticosteroids), including withdrawal effects (e.g. alcohol withdrawal). All definitional requirements for Delusional disorder in terms of symptoms and duration are currently met, or have been met within the past one month. All definitional requirements for Delusional disorder in terms of symptoms and duration were previously met. Symptoms have ameliorated such that the diagnostic requirements for the disorder have not been met for at least one month, but some clinically significant symptoms remain, which may or may not be associated with functional impairment. The partial remission may have occurred in response to medication or other treatment. All definitional requirements for Delusional disorder in terms of symptoms and duration were previously met. Symptoms have ameliorated such that no significant symptoms remain. The remission may have occurred in response to medication or other treatment.	Delusional disorder is a mental illness that develops when a person has a strong belief that is not based in reality. This belief, called a delusion, usually lasts for at least 3 months and often much longer. The content of the delusion can vary from person to person, but it is usually the same for that person. Sometimes, the delusion can change over time. Other symptoms of schizophrenia, such as hallucinations or feelings of being controlled, are not present in people with delusional disorder. However, some people with delusional disorder might have other kinds of perceptual disturbances that are related to their delusion. These perceptual disturbances might include hallucinations, illusions, or misidentifications of people. People with delusional disorder might not show any other signs of being mentally ill, such as changes in their mood, speech, or behavior. The symptoms of delusional disorder are not caused by
run_7_BioMistral-7B-SLERP.Q4_K_M.gguf	Delusional disorder is characterised by the development of a delusion or set of related delusions, typically persisting for at least 3 months and often much longer, in the absence of a Depressive, Manic, or Mixed mood episode. The delusions are variable in content across individuals, but typically stable within individuals, although they may evolve over time. Other characteristic symptoms of Schizophrenia (i.e. clear and persistent hallucinations, negative symptoms, disorganised thinking, or experiences of influence, passivity, or control) are not present, although various forms of perceptual disturbances (e.g. hallucinations, illusions, misidentifications of persons) thematically related to the delusion are still consistent with the diagnosis. Apart from actions and attitudes directly related to the delusion or delusional system, affect, speech, and behavior are typically unaffected. The symptoms are not a manifestation of another medical condition (e.g., a brain tumour) and are not due to the effect of a substance or medication on the central nervous system (e.g. corticosteroids), including withdrawal effects (e.g. alcohol withdrawal). All definitional requirements for Delusional disorder in terms of symptoms and duration are currently met, or have been met within the past one month. All definitional requirements for Delusional disorder in terms of symptoms and duration were previously met. Symptoms have ameliorated such that the diagnostic requirements for the disorder have not been met for at least one month, but some clinically significant symptoms remain, which may or may not be associated with functional impairment. The partial remission may have occurred in response to medication or other treatment. All definitional requirements for Delusional disorder in terms of symptoms and duration were previously met. Symptoms have ameliorated such that no significant symptoms remain. The remission may have occurred in response to medication or other treatment.	Delusional disorder is a mental disorder that causes a person to have a strong belief (delusion) that is not based in reality. This belief usually lasts for at least 3 months and can continue for much longer. The content of the delusion can vary from person to person, but it usually stays the same for that person. Other symptoms of schizophrenia, such as hallucinations, negative feelings, disorganized thinking, or feelings of being controlled, are not present in people with delusional disorder. However, some people with delusional disorder may have perceptual disturbances that are related to their delusion, such as seeing things that aren't really there or misidentifying people. Apart from actions and attitudes directly related to the delusion, a person's mood, speech, and behavior are usually not affected. The symptoms of delusional disorder are not caused by another medical condition or by taking drugs or medication. All of the
run_8_BioMistral-7B-SLERP.Q4_K_M.gguf	Delusional disorder is characterised by the development of a delusion or set of related delusions, typically persisting for at least 3 months and often much longer, in the absence of a Depressive, Manic, or Mixed mood episode. The delusions are variable in content across individuals, but typically stable within individuals, although they may evolve over time. Other characteristic symptoms of Schizophrenia (i.e. clear and persistent hallucinations, negative symptoms, disorganised thinking, or experiences of influence, passivity, or control) are not present, although various forms of perceptual disturbances (e.g. hallucinations, illusions, misidentifications of persons) thematically related to the delusion are still consistent with the diagnosis. Apart from actions and attitudes directly related to the delusion or delusional system, affect, speech, and behavior are typically unaffected. The symptoms are not a manifestation of another medical condition (e.g., a brain tumour) and are not due to the effect of a substance or medication on the central nervous system (e.g. corticosteroids), including withdrawal effects (e.g. alcohol withdrawal). All definitional requirements for Delusional disorder in terms of symptoms and duration are currently met, or have been met within the past one month. All definitional requirements for Delusional disorder in terms of symptoms and duration were previously met. Symptoms have ameliorated such that the diagnostic requirements for the disorder have not been met for at least one month, but some clinically significant symptoms remain, which may or may not be associated with functional impairment. The partial remission may have occurred in response to medication or other treatment. All definitional requirements for Delusional disorder in terms of symptoms and duration were previously met. Symptoms have ameliorated such that no significant symptoms remain. The remission may have occurred in response to medication or other treatment.	Delusional disorder is a mental illness where a person develops a strong belief (delusion) that is not based in reality. This belief lasts for at least 3 months and often much longer. The person does not have any other mental illness like depression or mania. The belief is usually about a specific topic and does not change much, although it may change slowly over time. The person may also have other symptoms like seeing things that aren't really there (like hallucinations) or feeling like they're being controlled by someone else. But these symptoms are not as strong as the delusion and are not the main problem. The person's mood, speech, and behavior are usually not affected by the illness. The symptoms are not caused by another medical condition (like a brain tumor) or by taking drugs or medication. The person meets all the requirements for having Delusional disorder in terms of how long the symptoms last and what they are like. The person
run_9_BioMistral-7B-SLERP.Q4_K_M.gguf	Delusional disorder is characterised by the development of a delusion or set of related delusions, typically persisting for at least 3 months and often much longer, in the absence of a Depressive, Manic, or Mixed mood episode. The delusions are variable in content across individuals, but typically stable within individuals, although they may evolve over time. Other characteristic symptoms of Schizophrenia (i.e. clear and persistent hallucinations, negative symptoms, disorganised thinking, or experiences of influence, passivity, or control) are not present, although various forms of perceptual disturbances (e.g. hallucinations, illusions, misidentifications of persons) thematically related to the delusion are still consistent with the diagnosis. Apart from actions and attitudes directly related to the delusion or delusional system, affect, speech, and behavior are typically unaffected. The symptoms are not a manifestation of another medical condition (e.g., a brain tumour) and are not due to the effect of a substance or medication on the central nervous system (e.g. corticosteroids), including withdrawal effects (e.g. alcohol withdrawal). All definitional requirements for Delusional disorder in terms of symptoms and duration are currently met, or have been met within the past one month. All definitional requirements for Delusional disorder in terms of symptoms and duration were previously met. Symptoms have ameliorated such that the diagnostic requirements for the disorder have not been met for at least one month, but some clinically significant symptoms remain, which may or may not be associated with functional impairment. The partial remission may have occurred in response to medication or other treatment. All definitional requirements for Delusional disorder in terms of symptoms and duration were previously met. Symptoms have ameliorated such that no significant symptoms remain. The remission may have occurred in response to medication or other treatment.	"Delusional disorder is a mental illness that causes people to have a strong belief that is not based on reality. This belief is called a ""delusion"" and it can last for at least 3 months. The content of the delusion can be different for each person, but it usually stays the same for that person. Other symptoms of schizophrenia, such as hearing voices or feeling like someone is controlling your thoughts, are not present in people with delusional disorder. However, some people with this disorder might have other types of perceptual disturbances, like seeing things that aren't really there or thinking someone is someone else. These perceptual disturbances are related to the delusion, but they are not enough to diagnose the disorder on their own. A person's mood, speech, and behavior are usually not affected by this disorder, unless they are directly related to the delusion. The symptoms of delusional disorder are not caused by another"
